,Training MSE,Testing MSE,% of points in Conf. Interval,% of points in Conf. Interval for Out of Distribution Data,% of points in Conf. Interval for In Distribution Data
1,0.16860032081604004,0.3630541219161107,11.5,21.666666666666668,8.571428571428571
2,0.22144648432731628,0.3434371088559811,10.5,26.666666666666668,5.714285714285714
3,0.18419776856899261,0.3447341024875641,15.5,30.0,8.571428571428571
4,0.2183755338191986,0.33838103023859173,13.5,15.0,10.714285714285714
5,0.18057456612586975,0.35063517781404346,11.0,25.0,6.428571428571428
6,0.205913245677948,0.350741724555309,14.499999999999998,26.666666666666668,11.428571428571429
7,0.15868720412254333,0.3565901345931567,16.0,25.0,7.142857142857142
8,0.17364509403705597,0.3507046401500702,14.499999999999998,28.333333333333332,6.428571428571428
9,0.15212897956371307,0.36808396073488087,14.000000000000002,31.666666666666664,11.428571428571429
10,0.22180628776550293,0.3690648995912992,13.0,18.333333333333332,10.714285714285714
