,Training MSE,Testing MSE,% of points in Conf. Interval,% of points in Conf. Interval for Out of Distribution Data,% of points in Conf. Interval for In Distribution Data
1,0.019431518390774727,0.16324602583279976,34.5,45.0,37.142857142857146
2,0.08453348278999329,0.1714923525085816,23.5,25.0,35.714285714285715
3,0.07274889945983887,0.26824856377564943,42.5,23.333333333333332,33.57142857142857
4,0.06728775799274445,0.18057428357692865,37.0,46.666666666666664,35.0
5,0.011566291563212872,0.22875617157954437,40.0,41.66666666666667,38.57142857142858
6,0.13070116937160492,0.2833538513917189,21.0,38.333333333333336,32.142857142857146
7,0.08087088912725449,0.1727997465775563,49.5,40.0,34.285714285714285
8,0.03954112157225609,0.1785479849920823,46.5,30.0,31.428571428571427
9,0.06009778380393982,0.2525466651870654,31.5,66.66666666666666,32.857142857142854
10,0.05731145665049553,0.17197381475797066,36.5,31.666666666666664,26.42857142857143
